mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.0698431968688964,0.2659288096178389,0.10103716850280761,0.006449787863601779,balanced,6,0.5,28,566,"{'model__class_weight': 'balanced', 'model__max_depth': 6, 'model__max_features': 0.5, 'model__min_samples_leaf': 28, 'model__n_estimators': 566}",0.6927200072570138,0.631184368506699,0.6572158734410954,0.6753479312090606,0.6556343964288492,0.6624205153685436,0.020659205539635215,22,0.7018602612182139,0.7169046898043834,0.7118291655940906,0.7038547883655623,0.7126097118119753,0.7094117233588451,0.005658971819014889
0.6440550804138183,0.048547091700317485,0.05203189849853516,0.01221173730731543,,16,sqrt,8,234,"{'model__class_weight': None, 'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__n_estimators': 234}",0.6919472965613194,0.6264571600424181,0.6684825698296971,0.6795803373109529,0.6676710963667472,0.666827692022227,0.022031133869318827,5,0.7941631239227553,0.8025592831988861,0.7974274459825531,0.7953672175693635,0.800640573671991,0.7980315288691099,0.003153908740563568
1.0502278327941894,0.10522245021936324,0.054853391647338864,0.009046051331899263,balanced_subsample,,0.5,4,201,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 4, 'model__n_estimators': 201}",0.673792793393573,0.6213652148659987,0.6393743870567251,0.672120764814282,0.6735472532159473,0.6560400826693052,0.021727125738507026,29,0.9411908690271976,0.9393312786334658,0.9427744756572068,0.9438653909660019,0.9382368972376136,0.9410797823042971,0.0020872566696910305
2.5635021686553956,0.1323382904451452,0.11007227897644042,0.02609310575221072,balanced_subsample,6,0.5,29,601,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 6, 'model__max_features': 0.5, 'model__min_samples_leaf': 29, 'model__n_estimators': 601}",0.6933508419979459,0.630700156869272,0.6526951905793809,0.6737038568240208,0.6573185341728804,0.6615537160887,0.02100969058573986,26,0.6990608641753618,0.7157561837693013,0.7094876363906436,0.7013186696540558,0.7121755388012263,0.7075597785581177,0.006377866772957655
1.6538012027740479,0.09879587172598688,0.08293542861938477,0.01658993203580801,balanced_subsample,16,log2,10,469,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 16, 'model__max_features': 'log2', 'model__min_samples_leaf': 10, 'model__n_estimators': 469}",0.6948276042305407,0.627471717267013,0.662409596387092,0.6791810536157662,0.6673274710317693,0.6662434885064362,0.02237657817731438,10,0.7722269223529475,0.7832981449736427,0.7784514164251617,0.7760365705723313,0.7803539994478045,0.7780734107543775,0.0037675446989503814
1.1775656700134278,0.08238673271455127,0.08652195930480958,0.012857370664490955,,16,sqrt,21,537,"{'model__class_weight': None, 'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 21, 'model__n_estimators': 537}",0.6928221768384586,0.6293390550940264,0.6613238757275193,0.6771237566402594,0.6643129558762899,0.6649843640353107,0.021008315913310448,13,0.7191807507321807,0.7316642199231175,0.7239947650043138,0.7221303781639544,0.7295983109237787,0.7253136849494689,0.0046513049398481466
1.5086312294006348,0.08195668585608194,0.07422542572021484,0.007320994158417491,,24,0.5,26,416,"{'model__class_weight': None, 'model__max_depth': 24, 'model__max_features': 0.5, 'model__min_samples_leaf': 26, 'model__n_estimators': 416}",0.6935102818542692,0.6315161328678025,0.654085869554307,0.6717000364471086,0.6593468901649617,0.6620318421776897,0.02042509293898569,24,0.7310722172358028,0.7410219672333785,0.7356689206317686,0.7313295965610032,0.7401740301960884,0.7358533463716083,0.0042128487117285346
0.7507055759429931,0.08685007187859728,0.06473317146301269,0.007664232736061315,balanced,,sqrt,15,264,"{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 15, 'model__n_estimators': 264}",0.6974844312835627,0.6320355272914333,0.6634280551222662,0.678429571949329,0.6627167197006525,0.6668188610694488,0.021509956955730027,6,0.7445341987453077,0.7542560425715086,0.7503105043755814,0.7469058118574577,0.74984620068703,0.7491705516473771,0.003293722099246368
3.491385316848755,0.08538351420527285,0.10642776489257813,0.013339329278082231,balanced,,0.5,1,671,"{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 671}",0.6368710980035572,0.5922445894652718,0.6057261638813036,0.6559774844470416,0.6679889774123947,0.6317616626419138,0.028859580589654567,30,0.9999672633068446,0.9999945248336388,0.9999662815286618,0.999957962882527,0.9999745301265747,0.9999721125356494,1.2376463089445976e-05
2.1260605812072755,0.12415068234283026,0.08968582153320312,0.004247571596108386,,10,0.3,17,591,"{'model__class_weight': None, 'model__max_depth': 10, 'model__max_features': 0.3, 'model__min_samples_leaf': 17, 'model__n_estimators': 591}",0.694770947682935,0.6286744018523434,0.6585635484232844,0.6791921550723115,0.6638983114145796,0.6650198728890907,0.022135561092060316,12,0.7508061090091362,0.7601881125356278,0.7563529899245345,0.7504020008766662,0.7579427103964607,0.755138384548485,0.00389977445657559
