mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__l2_regularization,param_model__learning_rate,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.624580192565918,0.01651427446039951,0.033652448654174806,0.008049905737160187,,0.009022004468565626,0.018585951462501547,487,9,10,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.009022004468565626), 'model__learning_rate': np.float64(0.018585951462501547), 'model__max_iter': 487, 'model__max_leaf_nodes': 9, 'model__min_samples_leaf': 10}",0.6958247168074244,0.6275783480121905,0.6659587052279182,0.6833863843022682,0.6636981773060174,0.6672892663311638,0.02308684685196721,1,0.7613934556827514,0.780371628482112,0.7716381009532943,0.7720679978612266,0.7742292530431754,0.771940087204512,0.0061265024580195
0.6384313106536865,0.003777568335539694,0.027445507049560548,0.0016955784407013071,,0.05414413211338523,0.01875220945578641,290,25,30,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.05414413211338523), 'model__learning_rate': np.float64(0.01875220945578641), 'model__max_iter': 290, 'model__max_leaf_nodes': 25, 'model__min_samples_leaf': 30}",0.6865047028529289,0.6311137921911404,0.6620946396088885,0.6669555437547179,0.6514116408760332,0.6596160638567418,0.01823569168715747,10,0.8096654126415039,0.8259022912826995,0.8208079870414693,0.8176477090104146,0.8203843415815005,0.8188815483115176,0.005323906493713222
0.994767713546753,0.013171109623460495,0.0484196662902832,0.0030307472028284037,,4.9830438374949075,0.20978213384576816,369,38,52,"{'model__class_weight': None, 'model__l2_regularization': np.float64(4.9830438374949075), 'model__learning_rate': np.float64(0.20978213384576816), 'model__max_iter': 369, 'model__max_leaf_nodes': 38, 'model__min_samples_leaf': 52}",0.6063760353382049,0.5686687739639192,0.582866312675671,0.6040088803801865,0.6183349457415357,0.5960509896199035,0.01783328761178402,30,0.999092108286297,0.9990901410817461,0.9989884528645063,0.9991830440998919,0.9990092973538551,0.9990726087372593,6.924467780708475e-05
1.0293692111968995,0.014215591245529482,0.03703398704528808,0.0016828844026451455,balanced,0.0002769889922756284,0.01947558230629543,289,47,25,"{'model__class_weight': 'balanced', 'model__l2_regularization': np.float64(0.0002769889922756284), 'model__learning_rate': np.float64(0.01947558230629543), 'model__max_iter': 289, 'model__max_leaf_nodes': 47, 'model__min_samples_leaf': 25}",0.6841343821066969,0.6124528742194798,0.6631951427638373,0.6536202676008451,0.6560023640296474,0.6538810061441013,0.02333614431192785,13,0.8677029965231298,0.8887824982392045,0.8778611516907379,0.8788454248680597,0.8791123612558224,0.878460886515391,0.006681314789841206
0.8509180068969726,0.008702179681403896,0.04173531532287598,0.0030095160277514663,,0.5452561223245013,0.06268891016222734,379,33,29,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.5452561223245013), 'model__learning_rate': np.float64(0.06268891016222734), 'model__max_iter': 379, 'model__max_leaf_nodes': 33, 'model__min_samples_leaf': 29}",0.6421175574302974,0.5840331502532649,0.6227621174663616,0.6401442361747887,0.6416411450388169,0.6261396412727058,0.022253464247859976,24,0.9811507537261022,0.9804462682841975,0.9821497865997767,0.9844191756794072,0.9774199758958846,0.9811171920370736,0.0022842950671476295
0.5312833786010742,0.003162852491732593,0.028330039978027344,0.0014156064808442286,,0.10843543809852559,0.025567264128934574,256,22,49,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.10843543809852559), 'model__learning_rate': np.float64(0.025567264128934574), 'model__max_iter': 256, 'model__max_leaf_nodes': 22, 'model__min_samples_leaf': 49}",0.6933983744218823,0.6255488515439872,0.6697986263451126,0.6744234108544741,0.6641762997559186,0.665469112584275,0.02224529802113015,2,0.7969732231336926,0.8203094361535025,0.8099791646035128,0.8061638215565337,0.8111114413961353,0.8089074173686754,0.007562601489398361
0.8577632427215576,0.017085936394075272,0.031287765502929686,0.0021023061783872646,balanced,0.00011972422479639345,0.042209997499902736,228,51,12,"{'model__class_weight': 'balanced', 'model__l2_regularization': np.float64(0.00011972422479639345), 'model__learning_rate': np.float64(0.042209997499902736), 'model__max_iter': 228, 'model__max_leaf_nodes': 51, 'model__min_samples_leaf': 12}",0.6625306738887801,0.6136775486141595,0.6309822557395991,0.6548931237976408,0.6533677192768357,0.6430902642634031,0.018080789879959872,19,0.9722667826791852,0.9770369114716246,0.9679263278887784,0.9742007348099616,0.9700492394371846,0.9722959992573468,0.003170081302304557
1.3623284816741943,0.03498810845036928,0.06045045852661133,0.0027473508922634384,,0.00011759777738127753,0.019665923318213548,491,42,39,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.00011759777738127753), 'model__learning_rate': np.float64(0.019665923318213548), 'model__max_iter': 491, 'model__max_leaf_nodes': 42, 'model__min_samples_leaf': 39}",0.6707954265245212,0.6004822281421401,0.6418889922779322,0.6562463332969898,0.6530582292576087,0.6444942418998384,0.02386231558308188,18,0.931415616520784,0.9378409840854545,0.9312078806985689,0.9338786661033261,0.9258325820750952,0.9320351458966458,0.003915260046101178
0.4696028709411621,0.005189744299347473,0.022188949584960937,0.0017078078453114248,balanced,0.10710256549997928,0.2334848553346559,140,35,11,"{'model__class_weight': 'balanced', 'model__l2_regularization': np.float64(0.10710256549997928), 'model__learning_rate': np.float64(0.2334848553346559), 'model__max_iter': 140, 'model__max_leaf_nodes': 35, 'model__min_samples_leaf': 11}",0.6481782904971013,0.5726306049760048,0.5868275546431082,0.6370465859302852,0.6333393820459173,0.6156044836184834,0.0300340112378581,26,0.9994233061771309,0.9994207542492091,0.9982777823767671,0.9978980387372931,0.998931034823686,0.9987901832728173,0.0006126630522815961
0.6871181964874268,0.010212670986796847,0.027455997467041016,0.0024581784633043325,balanced,0.13076473382928538,0.030816017044468066,147,62,27,"{'model__class_weight': 'balanced', 'model__l2_regularization': np.float64(0.13076473382928538), 'model__learning_rate': np.float64(0.030816017044468066), 'model__max_iter': 147, 'model__max_leaf_nodes': 62, 'model__min_samples_leaf': 27}",0.6772490777693316,0.6181832819426677,0.650706331707652,0.659789847204513,0.6482932842339184,0.6508443645716165,0.01923800364406343,14,0.8775860799572349,0.8846431763481697,0.8841175532463635,0.8808781096264989,0.8800755717613726,0.881460098187928,0.0026251741018461635
0.9316213130950928,0.004925438070590394,0.045647811889648435,0.0027775087200961595,,0.0042258746449961694,0.1195960383019184,459,29,31,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.0042258746449961694), 'model__learning_rate': np.float64(0.1195960383019184), 'model__max_iter': 459, 'model__max_leaf_nodes': 29, 'model__min_samples_leaf': 31}",0.6207886903507414,0.5722148813552057,0.5793168862375417,0.6235248210953798,0.6266266997283492,0.6044943957534435,0.023636302754726807,29,0.9993378905880197,0.9994051768541757,0.9992452959988704,0.9995991451559958,0.9992451611943248,0.9993665339582772,0.00013103562568842663
0.4659813404083252,0.003544372649824133,0.02027902603149414,0.0010538209142175222,balanced,0.022965432344634346,0.015019490572374374,230,8,9,"{'model__class_weight': 'balanced', 'model__l2_regularization': np.float64(0.022965432344634346), 'model__learning_rate': np.float64(0.015019490572374374), 'model__max_iter': 230, 'model__max_leaf_nodes': 8, 'model__min_samples_leaf': 9}",0.6881753324793286,0.6304841906456908,0.6566795806574902,0.6762959947855072,0.6503357901590249,0.6603941777454083,0.020170458914935716,8,0.6922872517880011,0.7103195319398808,0.6972224518166085,0.697007297952589,0.7078041504406752,0.700928136787551,0.006917338194915984
0.6243937492370606,0.007823590674769237,0.029809236526489258,0.002099649316446277,,0.0015132984900630335,0.02389152997793864,382,16,19,"{'model__class_weight': None, 'model__l2_regularization': np.float64(0.0015132984900630335), 'model__learning_rate': np.float64(0.02389152997793864), 'model__max_iter': 382, 'model__max_leaf_nodes': 16, 'model__min_samples_leaf': 19}",0.6929436860615216,0.6266767919253995,0.6599421979616263,0.6800406113583388,0.6572530321324086,0.663371263887859,0.02257463542940395,4,0.8230802274387805,0.836938487966312,0.8288575568226537,0.8268505116832947,0.8310627426420935,0.8293579053106269,0.0046112539422787915
0.8820635795593261,0.028426680190686216,0.04015927314758301,0.002222440473368538,balanced,0.0003584710633004183,0.04456083137211897,278,39,43,"{'model__class_weight': 'balanced', 'model__l2_regularization': np.float64(0.0003584710633004183), 'model__learning_rate': np.float64(0.04456083137211897), 'model__max_iter': 278, 'model__max_leaf_nodes': 39, 'model__min_samples_leaf': 43}",0.6592850965944693,0.6080484557916445,0.6452729367730728,0.6454824767848693,0.651681890969196,0.6419541713826504,0.01770903831109019,20,0.9279698349298218,0.9359713655114985,0.9281676432893043,0.9279175611456975,0.923026747931542,0.9286106305615729,0.004158061235944027
